0	0	0	0	0	0	0	0	0
45	49	49	65	65	45	16	4	7
60	62	63	80	80	60	32	4	7
80	82	83	100	100	80	999	4	7
39	52	43	60	50	65	16	1	15
58	64	58	80	65	80	36	1	15
78	84	78	109	85	100	999	1	9
44	48	65	60	54	43	16	2	15
59	63	80	65	80	58	36	2	15
79	83	100	85	105	78	999	2	15
45	30	35	20	20	45	7	11	15
50	20	55	25	25	30	10	11	15
60	45	50	80	80	70	999	11	9
40	35	30	20	20	50	7	11	7
45	25	50	25	25	35	10	11	7
65	80	40	40	80	75	999	11	7
40	45	40	35	35	56	18	0	9
63	60	55	50	50	71	36	0	9
83	80	75	70	70	91	999	0	9
30	56	35	25	35	72	20	0	15
55	81	60	50	70	97	999	0	15
40	60	30	31	31	70	20	0	9
65	90	65	61	61	100	999	0	9
30	60	44	40	54	55	22	7	15
60	85	69	65	79	80	999	7	15
35	55	30	50	40	90	28	3	15
60	90	55	90	80	100	999	3	15
50	75	85	20	30	40	22	8	15
75	100	110	45	55	65	999	8	15
55	47	52	40	40	41	16	7	15
70	62	67	55	55	56	42	7	15
90	82	87	75	85	76	999	7	8
46	57	40	40	40	50	16	7	15
61	72	57	55	55	65	42	7	15
81	92	77	85	75	85	999	7	8
70	45	48	60	65	35	32	0	15
95	70	73	85	90	60	999	0	15
38	41	40	50	65	65	36	1	15
73	76	75	81	100	100	999	1	15
115	45	20	45	25	20	32	0	15
140	70	45	75	50	45	999	0	15
40	45	35	30	40	55	22	7	9
75	80	70	65	75	90	999	7	9
45	50	55	75	65	30	22	4	7
60	65	70	85	75	40	36	4	7
75	80	85	100	90	50	999	4	7
35	70	55	45	55	25	24	11	4
60	95	80	60	80	30	999	11	4
60	55	50	40	55	45	31	11	7
70	65	60	90	75	90	999	11	7
10	55	25	35	45	95	26	8	15
35	80	50	50	70	120	999	8	15
40	45	35	40	40	90	28	0	15
65	70	60	65	65	115	999	0	15
50	52	48	65	50	55	33	2	15
80	82	78	95	80	85	999	2	15
40	80	35	35	45	70	28	6	15
65	105	60	60	70	95	999	6	15
55	70	45	70	50	60	42	1	15
90	110	80	100	80	95	999	1	15
40	50	40	40	40	90	25	2	15
65	65	65	50	50	90	42	2	15
90	85	95	70	90	70	999	2	6
25	20	15	105	55	90	16	10	15
40	35	30	120	70	105	32	10	15
55	50	45	135	85	120	999	10	15
70	80	50	35	35	35	28	6	15
80	100	70	50	60	45	45	6	15
90	130	80	65	85	55	999	6	15
50	75	35	70	30	40	21	4	7
65	90	50	85	45	55	35	4	7
80	105	65	100	60	70	999	4	7
40	40	35	50	100	70	30	2	7
80	70	65	80	120	100	999	2	7
40	80	100	30	30	20	25	12	8
55	95	115	45	45	35	42	12	8
80	110	130	55	65	45	999	12	8
50	85	55	65	65	90	40	1	15
65	100	70	80	80	105	999	1	15
90	65	65	40	40	15	37	2	10
95	75	110	100	80	30	999	2	10
25	35	70	95	55	45	30	3	15
50	60	95	120	70	70	999	3	15
52	65	55	58	62	60	999	0	9
35	85	45	35	35	75	31	0	9
60	110	70	60	60	100	999	0	9
65	45	55	45	70	45	34	2	15
90	70	80	70	95	70	999	2	5
80	80	50	40	50	25	38	7	15
105	105	75	65	100	50	999	7	15
30	65	100	45	25	40	28	2	15
50	90	180	85	45	70	999	2	5
30	35	30	100	35	80	25	13	7
45	50	45	115	55	95	40	13	7
60	65	60	130	75	110	999	13	7
35	45	160	30	45	70	999	12	8
60	48	45	43	90	42	26	10	15
85	73	70	73	115	67	999	10	15
30	105	90	25	25	50	28	2	15
55	130	115	50	50	75	999	2	15
40	30	50	55	55	100	30	3	15
60	50	70	80	80	140	999	3	15
60	40	80	60	45	40	40	4	10
95	95	85	125	65	55	999	4	10
50	50	95	40	50	35	28	8	15
60	80	110	50	80	45	999	8	15
50	120	53	35	110	87	999	6	15
50	105	79	35	110	76	999	6	15
90	55	75	60	75	30	999	0	15
40	65	95	60	45	35	35	7	15
65	90	120	85	70	60	999	7	15
80	85	95	30	30	25	42	8	12
105	130	120	45	45	40	999	8	12
250	5	5	35	105	50	999	0	15
65	55	115	100	40	60	999	4	15
105	95	80	40	80	90	999	0	15
30	40	70	70	25	60	32	2	15
55	65	95	95	45	85	999	2	15
45	67	60	35	50	63	33	2	15
80	92	65	65	80	68	999	2	15
30	45	55	70	55	85	42	2	15
60	75	85	100	85	115	999	2	10
40	45	65	100	120	90	999	10	15
70	110	80	55	80	105	999	11	9
65	50	35	115	95	95	999	5	10
65	83	57	95	85	105	999	3	15
65	95	57	100	85	93	999	1	15
65	125	100	55	70	85	999	11	15
75	100	95	40	70	110	999	0	15
20	10	55	15	20	80	20	2	15
95	125	79	60	100	81	999	2	9
130	85	80	85	95	60	999	2	5
48	48	48	48	48	48	999	0	15
55	55	50	45	65	55	999	0	15
130	65	60	110	95	65	999	2	15
65	65	60	110	95	130	999	3	15
65	130	60	95	110	65	999	1	15
65	60	70	85	75	40	999	0	15
35	40	100	90	55	35	40	12	2
70	60	125	115	70	55	999	12	2
30	80	90	55	45	55	40	12	2
60	115	105	65	70	80	999	12	2
80	105	65	60	75	130	999	12	9
160	110	65	65	110	30	999	0	15
90	85	100	95	125	85	999	5	9
90	90	85	125	90	100	999	3	9
90	100	90	125	85	90	999	1	9
41	64	45	50	50	50	30	14	15
61	84	65	70	70	70	55	14	15
91	134	95	100	100	80	999	14	9
106	110	90	154	90	130	999	10	15
100	100	100	100	100	100	999	10	15
